ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_8 PLACE_3_8,0.46,0.46,0.53,0.53,0.18,0.18,10.0,10.0,0.39,0.61,0.5,0.7,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.31,0.31,0.29,0.29,0.31,0.18,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.31,0.47,0.29,0.16,0.31,12.0,10.0,0.5,0.5,0.58,0.6,2.0,N
MOVE PLACE_3_10 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.71,0.48,0.75,0.6,0.18,0.18,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.62,0.57,0.67,0.62,0.18,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.64,0.57,0.69,0.62,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.5,0.46,0.6,0.53,0.18,0.18,10.0,10.0,0.56,0.56,0.65,0.65,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.46,0.46,0.53,0.53,0.18,0.18,10.0,10.0,0.39,0.61,0.5,0.7,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.31,0.31,0.29,0.29,0.31,0.18,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.31,0.47,0.29,0.16,0.31,12.0,10.0,0.5,0.5,0.58,0.6,2.0,N
MOVE PLACE_3_10 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.8,0.82,0.82,0.84,0.01,0.19,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.73,0.75,0.76,0.78,0.19,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_2_6 PLACE_3_6,0.64,0.57,0.69,0.62,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.5,0.46,0.6,0.53,0.18,0.18,10.0,10.0,0.56,0.56,0.65,0.65,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.46,0.46,0.53,0.53,0.18,0.18,10.0,10.0,0.39,0.61,0.5,0.7,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.31,0.31,0.29,0.29,0.31,0.18,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_9 PLACE_4_9,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.8,0.82,0.82,0.84,0.01,0.19,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.62,0.57,0.67,0.62,0.18,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.64,0.57,0.69,0.62,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.5,0.46,0.6,0.53,0.18,0.18,10.0,10.0,0.56,0.56,0.65,0.65,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.46,0.46,0.53,0.53,0.18,0.18,10.0,10.0,0.39,0.61,0.5,0.7,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.31,0.31,0.29,0.29,0.31,0.18,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_9 PLACE_4_9,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.71,0.48,0.75,0.6,0.18,0.18,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.62,0.57,0.67,0.62,0.18,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.64,0.57,0.69,0.62,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_3_6 PLACE_4_6,0.46,0.33,0.53,0.43,0.18,0.19,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.4,0.33,0.53,0.43,0.18,0.19,10.0,10.0,0.39,0.39,0.55,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_4_8 PLACE_4_9,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.8,0.82,0.82,0.84,0.01,0.19,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.62,0.57,0.67,0.62,0.18,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.64,0.57,0.69,0.62,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.5,0.46,0.6,0.53,0.18,0.18,10.0,10.0,0.56,0.56,0.65,0.65,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.46,0.46,0.53,0.53,0.18,0.18,10.0,10.0,0.39,0.61,0.5,0.7,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.31,0.31,0.29,0.29,0.31,0.18,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.31,0.47,0.29,0.16,0.31,12.0,10.0,0.5,0.5,0.58,0.6,2.0,N
MOVE PLACE_3_10 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.8,0.82,0.82,0.84,0.01,0.19,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.73,0.75,0.76,0.78,0.19,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.62,0.67,0.69,0.71,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.57,0.57,0.62,0.62,0.19,0.19,10.0,10.0,0.56,0.56,0.65,0.65,2.0,N
MOVE PLACE_2_8 PLACE_3_8,0.46,0.46,0.53,0.53,0.18,0.18,10.0,10.0,0.39,0.61,0.5,0.7,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.31,0.31,0.29,0.29,0.31,0.18,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_9 PLACE_4_9,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.8,0.82,0.82,0.84,0.01,0.19,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.73,0.75,0.76,0.78,0.19,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.62,0.67,0.69,0.71,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_2_7 PLACE_3_7,0.5,0.46,0.6,0.53,0.18,0.18,10.0,10.0,0.56,0.56,0.65,0.65,2.0,N
MOVE PLACE_3_7 PLACE_4_7,0.4,0.33,0.53,0.43,0.18,0.19,10.0,10.0,0.39,0.39,0.55,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_4_8 PLACE_4_9,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.88,0.88,0.89,0.89,0.01,0.01,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.8,0.82,0.82,0.84,0.01,0.19,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.62,0.57,0.67,0.62,0.18,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_5 PLACE_4_5,0.46,0.33,0.53,0.43,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_5 PLACE_4_6,0.46,0.33,0.53,0.43,0.18,0.19,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.4,0.33,0.53,0.43,0.18,0.19,10.0,10.0,0.39,0.39,0.55,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_4_8 PLACE_4_9,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.8,0.57,0.82,0.62,0.01,0.19,10.0,10.0,0.33,0.33,0.45,0.45,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.71,0.48,0.75,0.6,0.18,0.18,10.0,10.0,0.39,0.39,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.62,0.57,0.67,0.62,0.18,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_5 PLACE_4_5,0.46,0.33,0.53,0.43,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_5 PLACE_4_6,0.46,0.33,0.53,0.43,0.18,0.19,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.4,0.33,0.53,0.43,0.18,0.19,10.0,10.0,0.39,0.39,0.55,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_4_8 PLACE_4_9,0.31,0.31,0.29,0.29,0.31,0.31,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.27,0.31,0.25,0.29,0.27,0.31,12.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.83,0.55,0.86,0.62,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.75,0.67,0.78,0.71,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.6,0.55,0.69,0.62,0.22,0.22,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_3_5 PLACE_4_5,0.47,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.21,0.21,0.44,0.38,2.0,N
MOVE PLACE_4_5 PLACE_4_6,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.77,0.77,0.8,0.8,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.67,0.67,0.71,0.71,0.23,0.23,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.45,0.55,0.54,0.62,0.36,0.22,8.0,8.0,0.21,0.21,0.38,0.38,2.0,N
MOVE PLACE_2_7 PLACE_3_7,0.36,0.36,0.33,0.33,0.36,0.22,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_7 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.83,0.55,0.86,0.62,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.75,0.67,0.78,0.71,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.6,0.55,0.69,0.62,0.22,0.22,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.55,0.55,0.62,0.62,0.22,0.22,8.0,8.0,0.21,0.5,0.38,0.62,2.0,N
MOVE PLACE_3_6 PLACE_4_6,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.77,0.77,0.8,0.8,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.6,0.55,0.69,0.62,0.22,0.22,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.55,0.55,0.62,0.62,0.22,0.22,8.0,8.0,0.21,0.5,0.38,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.36,0.36,0.33,0.33,0.36,0.22,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_7 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.77,0.77,0.8,0.8,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.67,0.67,0.71,0.71,0.23,0.23,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.45,0.55,0.54,0.62,0.36,0.22,8.0,8.0,0.21,0.21,0.38,0.38,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.57,0.36,0.62,0.33,0.19,0.36,10.0,8.0,0.56,0.29,0.65,0.44,2.0,N
MOVE PLACE_2_8 PLACE_3_8,0.46,0.36,0.53,0.33,0.18,0.36,10.0,8.0,0.39,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_8 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.83,0.55,0.86,0.62,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.75,0.67,0.78,0.71,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_4_4,0.55,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.43,0.14,0.56,0.31,2.0,N
MOVE PLACE_4_4 PLACE_4_5,0.47,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.21,0.21,0.44,0.38,2.0,N
MOVE PLACE_4_5 PLACE_4_6,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.77,0.77,0.8,0.8,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.67,0.67,0.71,0.71,0.23,0.23,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_2_6 PLACE_3_6,0.55,0.55,0.62,0.62,0.22,0.22,8.0,8.0,0.21,0.5,0.38,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.36,0.36,0.33,0.33,0.36,0.22,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_7 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.77,0.77,0.8,0.8,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.67,0.67,0.71,0.71,0.23,0.23,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_2_6 PLACE_3_6,0.55,0.55,0.62,0.62,0.22,0.22,8.0,8.0,0.21,0.5,0.38,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.36,0.36,0.33,0.33,0.36,0.22,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.46,0.36,0.53,0.33,0.18,0.36,10.0,8.0,0.39,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_8 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.75,0.67,0.78,0.71,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.6,0.55,0.69,0.62,0.22,0.22,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.55,0.55,0.62,0.62,0.22,0.22,8.0,8.0,0.21,0.5,0.38,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.36,0.36,0.33,0.33,0.36,0.22,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_7 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.75,0.67,0.78,0.71,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_4_4,0.55,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.43,0.14,0.56,0.31,2.0,N
MOVE PLACE_4_4 PLACE_4_5,0.47,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.21,0.21,0.44,0.38,2.0,N
MOVE PLACE_4_5 PLACE_4_6,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.83,0.55,0.86,0.62,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.75,0.67,0.78,0.71,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.6,0.55,0.69,0.62,0.22,0.22,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.55,0.55,0.62,0.62,0.22,0.22,8.0,8.0,0.21,0.5,0.38,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.36,0.36,0.33,0.33,0.36,0.22,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_7 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.83,0.55,0.86,0.62,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_3 PLACE_4_3,0.55,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.43,0.36,0.56,0.5,2.0,N
MOVE PLACE_4_3 PLACE_4_4,0.55,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.43,0.14,0.56,0.31,2.0,N
MOVE PLACE_4_4 PLACE_4_5,0.47,0.4,0.62,0.5,0.22,0.23,8.0,8.0,0.21,0.21,0.44,0.38,2.0,N
MOVE PLACE_4_5 PLACE_4_6,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.77,0.77,0.8,0.8,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.6,0.55,0.69,0.62,0.22,0.22,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.55,0.55,0.62,0.62,0.22,0.22,8.0,8.0,0.21,0.5,0.38,0.62,2.0,N
MOVE PLACE_3_6 PLACE_4_6,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.36,0.36,0.33,0.33,0.36,0.36,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.86,0.86,0.88,0.88,0.23,0.23,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.77,0.77,0.8,0.8,0.23,0.23,8.0,8.0,0.36,0.36,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.67,0.67,0.71,0.71,0.23,0.23,8.0,8.0,0.43,0.43,0.56,0.56,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.45,0.55,0.54,0.62,0.36,0.22,8.0,8.0,0.21,0.21,0.38,0.38,2.0,N
MOVE PLACE_2_7 PLACE_3_7,0.36,0.36,0.33,0.33,0.36,0.22,8.0,8.0,0.29,0.29,0.44,0.44,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.46,0.36,0.53,0.33,0.18,0.36,10.0,8.0,0.39,0.36,0.5,0.5,2.0,N
MOVE PLACE_3_8 PLACE_4_8,0.31,0.36,0.29,0.33,0.31,0.36,10.0,8.0,0.44,0.14,0.55,0.25,2.0,N
