ob,r,d,dToCritical,dToDesirable,hasLM,Label
STACK E C,0.25,0.13,2,8,0.5,N
PICK-UP D,0.0,0.25,15,7,0.4,N
STACK D E,0.0,1.0,-1,0,0.4,N
PICK-UP P,0.0,1.0,-1,0,0.2,N
STACK P D,0.0,1.0,-1,0,0.3,N
PICK-UP E,0.08,0.07,3,5,0.4,N
STACK E C,0.25,0.13,2,8,0.5,N
PICK-UP D,0.0,0.25,15,7,0.4,N
STACK D E,0.0,1.0,-1,0,0.4,N
PICK-UP P,0.0,1.0,-1,0,0.2,N
PICK-UP E,0.08,0.07,3,5,0.4,N
STACK E C,0.25,0.13,2,8,0.5,N
PICK-UP D,0.0,0.25,15,7,0.4,N
STACK D E,0.0,1.0,-1,0,0.4,N
PICK-UP C,0.02,0.03,9,10,0.4,N
STACK C P,0.01,0.06,8,8,0.5,N
PICK-UP E,0.02,0.12,7,7,0.3,N
STACK E C,0.0,1.0,-1,2,0.4,N
PICK-UP D,0.0,1.0,-1,1,0.3,N
STACK D E,0.0,1.0,-1,0,0.3,N
PICK-UP O,0.04,0.03,5,9,0.4,N
STACK O E,0.01,0.06,8,8,0.4,N
PICK-UP W,0.02,0.12,7,7,0.2,N
STACK W O,0.0,1.0,-1,2,0.2,N
PICK-UP A,0.0,1.0,-1,1,0.1,N
STACK A W,0.0,1.0,-1,0,0.1,N
PICK-UP W,0.08,0.07,3,5,0.4,N
STACK W E,0.25,0.12,2,9,0.5,N
PICK-UP A,0.0,0.25,15,7,0.4,N
STACK A W,0.0,1.0,-1,0,0.4,N
PICK-UP O,0.0,1.0,-1,0,0.2,N
PICK-UP W,0.08,0.07,3,5,0.4,N
STACK W E,0.25,0.12,2,9,0.5,N
PICK-UP A,0.0,0.25,15,7,0.4,N
STACK A W,0.0,1.0,-1,0,0.4,N
PICK-UP O,0.0,1.0,-1,0,0.2,N
STACK O A,0.0,1.0,-1,0,0.3,N
PICK-UP E,0.02,0.03,9,10,0.4,N
STACK E O,0.01,0.06,8,8,0.5,N
PICK-UP W,0.02,0.12,7,7,0.3,N
STACK W E,0.0,1.0,-1,2,0.4,N
PICK-UP A,0.0,1.0,-1,1,0.3,N
STACK A W,0.0,1.0,-1,0,0.3,N
PICK-UP W,0.08,0.07,3,5,0.4,N
STACK W E,0.25,0.12,2,9,0.5,N
PICK-UP O,0.5,0.0,1,14,0.3,N
STACK O W,1.0,0.0,0,-1,0.4,Y
PICK-UP A,1.0,0.0,0,-1,0.3,Y
STACK A O,1.0,0.0,0,-1,0.3,Y
PICK-UP W,0.08,0.07,3,5,0.4,N
STACK W E,0.25,0.12,2,9,0.5,N
PICK-UP A,0.0,0.25,15,7,0.4,N
STACK A W,0.0,1.0,-1,0,0.4,N
PICK-UP E,0.0,0.03,-1,9,0.4,N
STACK E R,0.0,0.05,-1,8,0.5,N
PICK-UP A,0.0,0.1,-1,7,0.4,N
STACK A E,0.0,1.0,-1,2,0.4,N
PICK-UP P,0.0,1.0,-1,1,0.2,N
STACK P A,0.0,1.0,-1,0,0.3,N
PICK-UP A,0.0,0.08,-1,5,0.5,N
STACK A R,0.0,0.13,-1,8,0.5,N
PICK-UP P,0.0,0.19,-1,10,0.3,N
STACK P A,0.0,1.0,-1,0,0.4,N
PICK-UP E,0.0,1.0,-1,0,0.2,N
PICK-UP A,0.0,0.08,-1,5,0.5,N
STACK A R,0.0,0.13,-1,8,0.5,N
PICK-UP P,0.0,0.19,-1,10,0.3,N
STACK P A,0.0,1.0,-1,0,0.4,N
PICK-UP E,0.0,1.0,-1,0,0.2,N
STACK E P,0.0,1.0,-1,0,0.2,N
PICK-UP R,0.0,0.04,-1,10,0.4,N
STACK R E,0.0,0.05,-1,8,0.5,N
PICK-UP A,0.0,0.1,-1,7,0.4,N
STACK A R,0.0,1.0,-1,2,0.4,N
PICK-UP P,0.0,1.0,-1,1,0.2,N
STACK P A,0.0,1.0,-1,0,0.3,N
PICK-UP A,0.0,0.08,-1,5,0.5,N
STACK A R,0.0,0.13,-1,8,0.5,N
PICK-UP P,0.0,0.19,-1,10,0.3,N
STACK P A,0.0,1.0,-1,0,0.4,N
PICK-UP A,0.0,0.08,-1,5,0.5,N
STACK A R,0.0,0.13,-1,8,0.5,N
PICK-UP E,0.0,0.06,-1,13,0.3,N
STACK E A,0.0,1.0,-1,2,0.4,N
PICK-UP P,0.0,1.0,-1,1,0.2,N
STACK P E,0.0,1.0,-1,0,0.3,N
PICK-UP C,0.08,0.02,5,9,0.4,N
STACK C R,0.01,0.06,8,8,0.4,N
PICK-UP A,0.02,0.12,7,7,0.2,N
STACK A C,0.0,1.0,-1,2,0.2,N
PICK-UP O,0.0,1.0,-1,1,0.1,N
STACK O A,0.0,1.0,-1,0,0.1,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.11,2,9,0.5,N
PICK-UP O,0.0,0.25,15,8,0.4,N
STACK O A,0.0,1.0,-1,0,0.4,N
PICK-UP C,0.0,1.0,-1,0,0.2,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.11,2,9,0.5,N
PICK-UP O,0.0,0.25,15,8,0.4,N
STACK O A,0.0,1.0,-1,0,0.4,N
PICK-UP R,0.04,0.04,9,9,0.4,N
STACK R C,0.01,0.06,8,8,0.5,N
PICK-UP A,0.02,0.12,7,7,0.3,N
STACK A R,0.0,1.0,-1,2,0.4,N
PICK-UP O,0.0,1.0,-1,1,0.3,N
STACK O A,0.0,1.0,-1,0,0.3,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.11,2,9,0.5,N
PICK-UP C,0.5,0.0,1,14,0.3,N
STACK C A,1.0,0.0,0,-1,0.4,Y
PICK-UP O,1.0,0.0,0,-1,0.3,Y
STACK O C,1.0,0.0,0,-1,0.3,Y
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.11,2,9,0.5,N
PICK-UP O,0.0,0.25,15,8,0.4,N
STACK O A,0.0,1.0,-1,0,0.4,N
PICK-UP C,0.0,1.0,-1,0,0.2,N
STACK C O,0.0,1.0,-1,0,0.3,N
