ob,r,d,dToCritical,dToDesirable,hasLM,Label
PICKUP PLACE_0_0 KEY_0,0.17,0.25,8,4,0.33,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.23,0.5,8,3,0.33,N
MOVE PLACE_0_0 PLACE_0_1,0.23,0.5,9,2,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.02,0.09,10,7,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.18,11,5,1.0,N
PICKUP PLACE_0_0 KEY_1,0.03,0.29,10,5,0.67,N
MOVE PLACE_0_0 PLACE_0_1,0.03,0.29,11,5,0.33,N
MOVE PLACE_0_1 PLACE_0_2,0.0,1.0,-1,1,0.33,N
MOVE PLACE_0_2 PLACE_0_3,0.0,1.0,-1,0,0.33,N
PICKUP PLACE_0_0 KEY_0,0.02,0.09,10,7,1.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.17,9,6,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.03,0.29,10,5,0.67,N
MOVE PLACE_0_0 PLACE_0_1,0.03,0.29,11,5,0.33,N
MOVE PLACE_0_1 PLACE_0_2,0.0,1.0,-1,1,0.33,N
MOVE PLACE_0_2 PLACE_0_3,0.0,1.0,-1,0,0.33,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.08,4,4,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.12,0.12,5,3,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.17,0.17,6,2,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.04,0.33,7,1,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
PICKUP PLACE_0_0 KEY_1,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.09,6,7,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.07,0.07,7,5,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.05,0.09,8,4,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.03,0.14,10,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.02,0.06,9,9,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.03,0.05,9,10,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.04,0.03,10,11,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.03,0.03,12,12,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.07,0.04,10,12,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.02,0.06,9,9,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.04,0.17,8,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.06,0.05,8,9,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.05,0.05,9,9,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.03,0.1,11,11,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.02,0.13,12,12,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.04,0.08,8,9,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.06,0.06,9,10,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.05,0.06,10,12,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.11,0.08,9,11,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.05,0.27,7,7,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.1,7,8,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.13,0.07,7,9,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.1,0.07,8,11,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.26,0.09,6,11,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.01,0.05,9,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.01,0.04,10,9,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.01,0.04,11,9,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.0,0.05,12,10,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.01,0.08,13,12,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.09,6,7,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.13,0.07,6,8,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.1,0.07,7,9,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.26,0.09,5,9,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.09,6,7,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.07,0.07,7,5,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.05,0.09,8,4,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.03,0.14,10,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.08,4,4,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.25,0.06,3,5,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.25,0.06,2,6,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,1,-1,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.02,0.06,9,9,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.03,0.05,9,10,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.02,0.03,10,11,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.01,0.03,11,11,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.01,0.05,13,13,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_1_1,0.06,0.12,6,4,0.4,N
MOVE PLACE_1_1 PLACE_1_2,0.06,0.12,7,3,0.4,N
MOVE PLACE_1_2 PLACE_1_3,0.04,0.17,8,2,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.04,0.33,7,1,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.04,0.08,8,9,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.03,0.11,9,10,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.02,0.06,10,7,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.02,0.08,12,8,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_1_1,0.06,0.12,6,4,0.4,N
MOVE PLACE_1_1 PLACE_1_2,0.06,0.12,7,3,0.4,N
MOVE PLACE_1_2 PLACE_1_3,0.04,0.17,8,2,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.04,0.33,7,1,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.09,6,7,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.13,0.07,6,8,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.1,0.07,7,9,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.26,0.09,5,9,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.09,6,7,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.07,0.07,7,5,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.05,0.09,8,4,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.03,0.14,10,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.04,0.08,8,9,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.03,0.11,9,10,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.02,0.06,10,7,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.02,0.08,12,8,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
MOVE PLACE_0_0 PLACE_1_0,0.01,0.02,10,10,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.0,0.02,11,11,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.0,0.01,12,12,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.0,0.01,13,13,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.0,0.02,14,14,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.05,0.27,7,7,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.1,7,8,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.13,0.07,7,9,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.1,0.07,8,11,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.26,0.09,6,11,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.02,0.06,9,9,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.04,0.17,8,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.06,0.05,8,9,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.09,0.04,8,10,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.06,0.04,10,12,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.17,0.05,8,12,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_0_1,0.04,0.22,8,8,0.4,N
MOVE PLACE_0_1 PLACE_0_2,0.04,0.14,9,6,0.4,N
MOVE PLACE_0_2 PLACE_0_3,0.12,0.08,10,5,0.4,N
MOVE PLACE_0_3 PLACE_1_3,0.1,0.1,11,4,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.03,0.14,10,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.04,0.08,8,9,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.06,0.06,9,10,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.05,0.06,10,12,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.11,0.08,9,11,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.01,0.04,10,9,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.01,0.03,11,10,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.0,0.08,12,11,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.0,0.03,13,11,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.0,0.04,14,12,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
PICKUP PLACE_0_0 KEY_1,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.08,4,4,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.25,0.06,3,5,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.25,0.06,2,6,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,1,-1,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
MOVE PLACE_0_0 PLACE_0_1,0.01,0.09,9,8,0.4,N
MOVE PLACE_0_1 PLACE_0_2,0.01,0.09,10,9,0.4,N
MOVE PLACE_0_2 PLACE_0_3,0.01,0.06,11,9,0.4,N
MOVE PLACE_0_3 PLACE_1_3,0.01,0.06,12,10,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.01,0.08,13,12,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.08,4,4,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.25,0.06,3,5,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.25,0.06,2,6,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,1,-1,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.08,4,4,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.12,0.12,5,3,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.17,0.17,6,2,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.04,0.33,7,1,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
PICKUP PLACE_0_0 KEY_1,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_1_1,0.06,0.12,6,4,0.4,N
MOVE PLACE_1_1 PLACE_1_2,0.06,0.12,7,3,0.4,N
MOVE PLACE_1_2 PLACE_1_3,0.04,0.17,8,2,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.04,0.33,7,1,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
PICKUP PLACE_0_0 KEY_1,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.09,6,7,0.4,N
MOVE PLACE_2_0 PLACE_3_0,0.13,0.07,6,8,0.4,N
MOVE PLACE_3_0 PLACE_3_1,0.1,0.07,7,9,0.4,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.26,0.09,5,9,0.4,N
MOVE PLACE_3_1 PLACE_3_2,1.0,0.0,0,-1,0.4,Y
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
PICKUP PLACE_0_0 KEY_1,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.06,0.09,6,6,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.08,0.17,5,5,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.08,4,4,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.12,0.12,5,3,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.17,0.17,6,2,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.04,0.33,7,1,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_0_1,0.04,0.22,8,8,0.4,N
MOVE PLACE_0_1 PLACE_0_2,0.04,0.14,9,6,0.4,N
MOVE PLACE_0_2 PLACE_0_3,0.12,0.08,10,5,0.4,N
MOVE PLACE_0_3 PLACE_1_3,0.1,0.1,11,4,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.03,0.14,10,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.01,0.13,8,7,0.6,N
PICKUP PLACE_0_0 KEY_1,0.04,0.2,7,7,0.6,N
MOVE PLACE_0_0 PLACE_0_1,0.04,0.22,8,8,0.4,N
MOVE PLACE_0_1 PLACE_0_2,0.04,0.14,9,6,0.4,N
MOVE PLACE_0_2 PLACE_0_3,0.12,0.08,10,5,0.4,N
MOVE PLACE_0_3 PLACE_1_3,0.1,0.1,11,4,0.4,N
MOVE PLACE_1_3 PLACE_2_3,0.03,0.14,10,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_0,0.01,0.05,9,8,0.6,N
PICKUP PLACE_0_0 KEY_1,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.05,0.27,7,7,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.1,7,8,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.07,0.29,8,9,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.04,0.08,10,7,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.06,0.18,11,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.02,0.03,8,8,0.6,N
PICKUP PLACE_0_0 KEY_0,0.03,0.07,7,8,0.6,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.13,8,8,0.4,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.05,0.27,7,7,0.4,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.1,7,8,0.4,N
MOVE PLACE_2_0 PLACE_2_1,0.07,0.29,8,9,0.4,N
MOVE PLACE_2_1 PLACE_2_2,0.04,0.08,10,7,0.4,N
MOVE PLACE_2_2 PLACE_2_3,0.06,0.18,11,5,0.4,N
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.4,N
PICKUP PLACE_0_0 KEY_1,0.05,0.04,6,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.06,5,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.08,0.13,5,8,1.0,N
